Date,Team,Location,FGA,FG%,3PA,3P%,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Result
12/19/2023,Warriors,Home,109,0.459,50,0.400,14,0.857,18,41,59,29,4,5,10,15,132,W
12/20/2023,Celtics,Away,92,0.554,42,0.524,24,0.833,14,36,50,35,6,10,9,17,144,W
12/20/2023,Kings,Home,91,0.473,44,0.477,23,0.522,12,25,37,29,4,8,7,15,119,L
12/23/2023,Celtics,Away,94,0.521,53,0.472,28,0.786,15,36,51,33,4,5,10,19,145,W
12/23/2023,Clippers,Home,89,0.461,34,0.324,15,1.000,9,25,34,25,4,4,11,24,108,L
12/25/2023,Celtics,Away,91,0.505,42,0.310,28,0.750,11,33,44,31,8,7,8,17,126,W
12/25/2023,Lakers,Home,90,0.478,32,0.406,21,0.762,13,30,43,24,4,1,12,19,115,L
12/28/2023,Celtics,Home,99,0.485,39,0.282,25,0.840,11,32,43,25,10,4,12,15,128,W
12/28/2023,Pistons,Away,101,0.475,43,0.326,19,0.632,19,38,57,27,7,4,19,21,122,L
12/29/2023,Celtics,Home,88,0.489,39,0.436,20,0.850,13,39,52,29,3,6,16,17,120,W
12/29/2023,Raptors,Away,95,0.463,44,0.386,20,0.650,9,29,38,29,10,6,5,15,118,L
12/31/2023,Celtics,Away,95,0.537,42,0.357,22,0.773,13,44,57,29,6,7,11,12,134,W
12/31/2023,Spurs,Home,94,0.426,45,0.267,12,0.750,9,30,39,28,6,1,16,17,101,L
1/2/2024,Celtics,Away,92,0.457,40,0.375,29,0.828,17,30,47,33,7,10,14,15,123,L
1/2/2024,Thunder,Home,91,0.527,40,0.450,17,0.765,10,28,38,34,7,10,12,22,127,W
1/5/2024,Celtics,Home,90,0.433,49,0.347,36,0.861,9,47,56,24,9,8,14,23,126,W
1/5/2024,Jazz,Away,94,0.362,34,0.176,34,0.676,16,41,57,23,11,2,18,24,97,L
1/6/2024,Celtics,Away,90,0.511,41,0.390,19,0.526,13,43,56,26,6,6,18,20,118,W
1/6/2024,Pacers,Home,92,0.413,42,0.190,22,0.773,10,28,38,23,12,2,9,18,101,L
1/8/2024,Celtics,Away,90,0.522,35,0.486,29,0.690,13,29,42,26,3,8,15,20,131,L
1/8/2024,Pacers,Home,91,0.527,40,0.475,22,0.818,9,30,39,29,6,7,13,23,133,W
1/10/2024,Celtics,Home,90,0.433,47,0.404,31,0.968,7,39,46,21,5,4,8,19,127,W
1/10/2024,Timberwolves,Away,95,0.463,34,0.412,20,0.900,8,39,47,22,4,6,9,27,120,L
1/11/2024,Celtics,Away,91,0.374,35,0.257,30,0.833,6,25,31,22,5,5,6,13,102,L
1/11/2024,Bucks,Home,92,0.565,42,0.429,16,0.813,12,42,54,34,3,6,11,22,135,W
1/13/2024,Celtics,Home,95,0.537,47,0.511,25,0.760,10,40,50,26,7,8,12,21,145,W
1/13/2024,Rockets,Away,99,0.404,30,0.233,30,0.867,15,35,50,20,10,3,13,18,113,L
1/15/2024,Celtics,Away,82,0.402,39,0.410,25,0.920,5,48,53,20,3,7,13,16,105,W
1/15/2024,Raptors,Home,95,0.400,32,0.125,21,0.762,9,43,52,25,6,2,7,21,96,L
1/17/2024,Celtics,Home,90,0.467,38,0.474,19,0.789,12,42,54,22,5,6,14,15,117,W
1/17/2024,Spurs,Away,93,0.419,34,0.206,16,0.813,11,30,41,26,5,3,10,15,98,L
1/19/2024,Celtics,Home,89,0.427,44,0.318,14,0.714,12,26,38,21,5,2,3,17,100,L
1/19/2024,Nuggets,Away,81,0.519,31,0.258,13,0.769,10,37,47,20,0,3,11,13,102,W
1/21/2024,Celtics,Away,98,0.439,47,0.362,18,0.722,16,39,55,31,10,12,16,17,116,W
1/21/2024,Rockets,Home,94,0.436,35,0.286,22,0.682,11,38,49,26,9,3,15,17,107,L
1/22/2024,Celtics,Away,88,0.466,46,0.326,30,0.733,5,39,44,26,7,8,6,20,119,W
1/22/2024,Mavericks,Home,97,0.443,40,0.350,14,0.714,10,38,48,24,4,4,10,20,110,L
1/25/2024,Celtics,Away,80,0.638,40,0.550,20,0.950,6,41,47,36,4,5,11,10,143,W
1/25/2024,Heat,Home,94,0.447,42,0.381,13,0.769,11,20,31,25,7,1,5,12,110,L
1/27/2024,Celtics,Home,100,0.360,40,0.250,16,0.875,18,34,52,21,2,9,11,13,96,L
1/27/2024,Clippers,Away,102,0.441,40,0.250,18,0.833,15,43,58,28,8,8,8,20,115,W
1/29/2024,Celtics,Home,85,0.506,46,0.370,20,0.750,6,34,40,27,7,5,11,15,118,W
1/29/2024,Pelicans,Away,91,0.505,35,0.286,13,0.769,9,31,40,21,7,6,12,14,112,L
1/30/2024,Celtics,Home,87,0.540,36,0.472,22,0.818,7,33,40,25,6,9,12,16,129,W
1/30/2024,Pacers,Away,108,0.463,39,0.308,15,0.800,19,31,50,33,4,2,8,21,124,L
2/1/2024,Celtics,Home,97,0.423,48,0.333,7,1.000,14,40,54,30,4,12,15,19,105,L
2/1/2024,Lakers,Away,94,0.404,36,0.528,26,0.731,15,37,52,30,11,2,7,8,114,W
2/4/2024,Celtics,Home,99,0.485,51,0.373,18,0.889,17,40,57,30,12,4,11,13,131,W
2/4/2024,Grizzlies,Away,92,0.380,38,0.289,12,0.833,16,30,46,19,5,3,20,15,91,L
2/7/2024,Celtics,Home,93,0.527,49,0.347,11,0.909,6,39,45,33,6,9,14,16,125,W
2/7/2024,Hawks,Away,102,0.422,41,0.317,20,0.900,13,36,49,24,8,2,9,13,117,L
2/9/2024,Celtics,Home,92,0.522,34,0.324,28,0.929,9,40,49,25,9,5,13,17,133,W
2/9/2024,Wizards,Away,95,0.474,47,0.426,21,0.905,5,34,39,32,8,1,12,25,129,L
2/11/2024,Celtics,Away,81,0.506,39,0.410,17,0.706,6,36,42,27,1,9,11,13,110,W
2/11/2024,Heat,Home,97,0.412,40,0.300,15,0.933,14,31,45,21,4,2,7,14,106,L
2/13/2024,Celtics,Away,83,0.518,37,0.405,23,0.739,7,32,39,31,6,1,14,24,118,W
2/13/2024,Nets,Home,79,0.494,33,0.455,26,0.654,7,30,37,28,6,3,12,21,110,L
2/14/2024,Celtics,Home,91,0.571,45,0.489,12,0.833,10,41,51,32,6,5,10,13,136,W
2/14/2024,Nets,Away,81,0.383,31,0.323,15,0.933,6,25,31,27,5,1,12,12,86,L
2/22/2024,Celtics,Away,83,0.542,47,0.489,21,0.762,5,31,36,27,10,11,14,16,129,W
2/22/2024,Bulls,Home,94,0.468,28,0.357,16,0.875,13,32,45,30,6,2,13,17,112,L
2/24/2024,Celtics,Away,81,0.568,35,0.429,12,0.750,11,25,36,27,8,4,7,16,116,W
2/24/2024,Knicks,Home,82,0.451,38,0.342,16,0.938,15,24,39,21,1,3,14,15,102,L
2/27/2024,Celtics,Home,74,0.527,22,0.227,37,0.919,9,47,56,21,7,9,14,16,117,W
2/27/2024,76ers,Away,94,0.394,42,0.333,12,0.917,8,20,28,20,6,5,10,23,99,L
3/1/2024,Celtics,Home,94,0.553,43,0.488,13,1.000,9,38,47,33,4,8,9,15,138,W
3/1/2024,Mavericks,Away,94,0.468,34,0.265,18,0.722,10,32,42,20,4,4,8,12,110,L
3/3/2024,Celtics,Home,96,0.552,49,0.510,11,0.818,7,44,51,35,10,5,8,19,140,W
3/3/2024,Warriors,Away,92,0.391,41,0.171,13,0.692,12,34,46,24,2,3,17,13,88,L
3/5/2024,Celtics,Away,93,0.419,38,0.395,12,0.917,14,39,53,24,6,9,13,13,104,L
3/5/2024,Cavaliers,Home,90,0.433,42,0.476,11,0.636,8,34,42,28,11,3,9,10,105,W
3/7/2024,Celtics,Away,91,0.451,38,0.289,25,0.640,13,34,47,24,6,3,12,18,109,L
3/7/2024,Nuggets,Home,90,0.500,21,0.190,22,0.955,8,37,45,27,10,4,8,19,115,W
3/9/2024,Celtics,Away,94,0.489,39,0.385,13,0.769,13,30,43,29,7,4,12,12,117,W
3/9/2024,Suns,Home,87,0.506,31,0.290,16,0.625,10,31,41,21,6,1,15,14,107,L
3/11/2024,Celtics,Away,100,0.490,40,0.375,12,0.667,14,31,45,34,7,10,3,11,121,W
3/11/2024,Trail Blazers,Home,87,0.448,28,0.357,11,1.000,9,29,38,23,3,5,11,11,99,L
3/12/2024,Celtics,Away,92,0.467,49,0.408,19,0.895,14,32,46,25,5,8,9,14,123,W
3/12/2024,Jazz,Home,86,0.477,32,0.469,11,0.909,9,29,38,23,4,7,10,18,107,L
3/14/2024,Celtics,Home,89,0.528,50,0.500,11,0.727,6,27,33,31,12,5,10,13,127,W
3/14/2024,Suns,Away,99,0.475,31,0.355,10,0.700,19,32,51,27,4,3,14,12,112,L
3/17/2024,Celtics,Away,87,0.494,50,0.480,24,0.833,12,31,43,30,9,6,15,17,130,W
3/17/2024,Wizards,Home,89,0.461,34,0.294,14,0.857,10,30,40,24,3,5,16,20,104,L
3/18/2024,Celtics,Home,95,0.453,49,0.449,13,0.846,15,38,53,30,8,8,11,9,119,W
3/18/2024,Pistons,Away,84,0.429,29,0.310,15,0.867,8,35,43,21,6,3,13,15,94,L
3/20/2024,Celtics,Home,85,0.471,40,0.450,29,0.828,11,26,37,25,6,5,9,18,122,W
3/20/2024,Bucks,Away,84,0.536,35,0.486,14,0.857,9,32,41,20,3,6,15,25,119,L
3/22/2024,Celtics,Away,89,0.528,45,0.356,27,0.704,8,27,35,31,9,5,7,15,129,W
3/22/2024,Pistons,Home,83,0.506,31,0.290,13,0.692,8,34,42,25,4,1,19,23,102,L
3/23/2024,Celtics,Away,86,0.512,48,0.438,17,0.882,12,29,41,28,5,3,12,9,124,W
3/23/2024,Bulls,Home,82,0.573,24,0.375,11,0.909,3,26,29,36,7,3,7,18,113,L
3/25/2024,Celtics,Away,95,0.495,38,0.289,19,0.684,12,26,38,21,7,8,9,16,118,L
3/25/2024,Hawks,Home,87,0.529,36,0.500,17,0.588,15,29,44,30,5,3,13,18,120,W
3/28/2024,Celtics,Away,94,0.479,36,0.389,21,0.857,9,34,43,28,7,6,12,15,122,L
3/28/2024,Hawks,Home,104,0.490,44,0.341,10,0.600,17,36,53,24,5,5,11,17,123,W
3/30/2024,Celtics,Away,82,0.476,37,0.405,12,0.917,8,43,51,27,7,7,13,13,104,W
3/30/2024,Pelicans,Home,86,0.395,35,0.371,18,0.611,10,31,41,22,9,3,9,12,92,L
4/1/2024,Celtics,Away,89,0.483,53,0.358,16,0.813,11,40,51,28,3,3,11,15,118,W
4/1/2024,Hornets,Home,91,0.451,37,0.351,11,0.818,8,32,40,28,3,2,7,15,104,L
4/3/2024,Celtics,Home,92,0.543,40,0.425,19,0.947,11,35,46,33,7,10,11,18,135,W
4/3/2024,Thunder,Away,81,0.432,24,0.208,28,0.893,5,26,31,21,8,5,14,11,100,L
4/5/2024,Celtics,Home,89,0.427,44,0.273,18,0.722,12,39,51,25,6,4,8,11,101,W
4/5/2024,Kings,Away,99,0.384,51,0.333,13,0.538,15,39,54,21,4,3,7,15,100,L
4/7/2024,Celtics,Home,87,0.563,38,0.421,13,0.769,5,35,40,34,11,8,13,12,124,W
4/7/2024,Trail Blazers,Away,102,0.392,38,0.368,13,1.000,22,31,53,26,8,2,15,12,107,L
4/9/2024,Celtics,Away,93,0.398,52,0.327,0,0.000,12,26,38,27,11,4,12,8,91,L
4/9/2024,Bucks,Home,81,0.531,36,0.472,2,0.500,10,39,49,29,6,5,18,4,104,W
4/11/2024,Celtics,Home,86,0.465,42,0.381,16,0.813,10,26,36,25,7,12,12,16,109,L
4/11/2024,Knicks,Away,99,0.495,36,0.389,10,0.600,17,35,52,24,7,4,15,12,118,W
4/12/2024,Celtics,Home,104,0.519,41,0.341,13,0.692,16,37,53,34,12,1,6,20,131,W
4/12/2024,Hornets,Away,76,0.421,35,0.429,22,0.864,4,29,33,20,3,7,20,15,98,L
4/14/2024,Celtics,Home,89,0.573,32,0.500,21,0.667,10,38,48,29,10,15,17,13,132,W
4/14/2024,Wizards,Away,103,0.476,38,0.368,10,1.000,8,28,36,33,9,4,12,16,122,L
